Title,cites,year
NaN,NaN,NaN
Ordered neurons: Integrating tree structures into recurrent neural networks,86,2018
Large scale gan training for high fidelity natural image synthesis,1031,2018
NaN,NaN,NaN
KnockoffGAN: Generating knockoffs for feature selection using generative adversarial networks,15,2018
NaN,NaN,NaN
ImageNet-trained CNNs are biased towards texture; increasing shape bias improves accuracy and robustness,365,2018
Smoothing the geometry of probabilistic box embeddings,11,2018
NaN,NaN,NaN
Meta-learning update rules for unsupervised representation learning,31,2018
NaN,NaN,NaN
Generating high fidelity images with subscale pixel networks and multidimensional upscaling,42,2018
Temporal difference variational auto-encoder,38,2018
A unified theory of early visual representations from retina to cortex through anatomically constrained deep CNNs,21,2019
Pay less attention with lightweight and dynamic convolutions,136,2019
Enabling factorized piano music modeling and generation with the MAESTRO dataset,55,2018
Learning to remember more with less memorization,14,2019
Learning robust representations by projecting superficial statistics out,25,2019
"Slalom: Fast, verifiable and private execution of neural networks in trusted hardware",57,2018
"The neuro-symbolic concept learner: Interpreting scenes, words, and sentences from natural supervision",92,2019
"The lottery ticket hypothesis: Finding sparse, trainable neural networks",144,2018
Ffjord: Free-form continuous dynamics for scalable reversible generative models,196,2018
How powerful are graph neural networks?,609,2018
Convolutional neural networks on non-uniform geometrical signals using euclidean spectral transformation,6,2019
Augmented cyclic adversarial learning for low resource domain adaptation,13,2018
Variance networks: When expectation does not meet your expectations,10,2018
Initialized equilibrium propagation for backprop-free training,1,2018
Explaining image classifiers by counterfactual generation,35,2018
Snip: Single-shot network pruning based on connection sensitivity,91,2018
Diagnosing and enhancing VAE models,78,2019
Disjoint mapping network for cross-modal matching of voices and faces,16,2018
Automatically composing representation transformations as a means for generalization,24,2018
Visual reasoning by progressive module networks,3,2018
Bayesian deep convolutional networks with many channels are gaussian processes,69,2018
Learning to learn without forgetting by maximizing transfer and minimizing interference,69,2018
Sparse Dictionary Learning by Dynamical Neural Networks,0,2018
Eidetic 3d lstm: A model for video prediction and beyond,32,2018
ALISTA: Analytic weights are as good as learned weights in LISTA,38,2018
Three mechanisms of weight decay regularization,48,2018
Learning multimodal graph-to-graph translation for molecular optimization,46,2018
A data-driven and distributed approach to sparse signal representation and recovery,11,2018
On the minimal supervision for training any binary classifier from only unlabeled data,19,2018
Neural logic machines,32,2019
Neural speed reading with structural-jump-lstm,8,2019
Rigorous agent evaluation: An adversarial approach to uncover catastrophic failures,16,2018
"Woulda, coulda, shoulda: Counterfactually-guided policy search",36,2018
signSGD via zeroth-order oracle,17,2018
Preventing posterior collapse with delta-vaes,39,2019
Algorithmic framework for model-based deep reinforcement learning with theoretical guarantees,37,2018
Knowledge flow: Improve upon your teachers,6,2019
Directed-info GAIL: Learning hierarchical policies from unsegmented demonstrations using directed information,15,2018
A max-affine spline perspective of recurrent neural networks,2,2018
Learning to navigate the web,5,2018
Training for faster adversarial robustness verification via inducing relu stability,64,2018
Learning to learn with conditional class dependencies,16,2018
Hierarchical visuomotor control of humanoids,36,2018
Unsupervised adversarial image reconstruction,7,2018
Max-MIG: An information theoretic approach for joint learning from crowds,5,2019
Autoloss: Learning discrete schedules for alternate optimization,8,2018
"Finance, not learning needs, makes general practitioners attend courses: a database survey",48,1997
Robust estimation via generative adversarial networks,3,2018
INVASE: Instance-wise variable selection using neural networks,11,2018
Meta-learning with latent embedding optimization,240,2018
Non-vacuous generalization bounds at the imagenet scale: a PAC-Bayesian compression approach,44,2018
Learning to represent edits,25,2018
Neural probabilistic motor primitives for humanoid control,27,2018
Differentiable perturb-and-parse: Semi-supervised parsing with a structured variational autoencoder,20,2018
Janossy pooling: Learning deep permutation-invariant functions for variable-size inputs,43,2018
An empirical study of example forgetting during deep neural network learning,35,2018
Rnns implicitly implement tensor product representations,16,2018
Learning to solve circuit-SAT: An unsupervised differentiable approach,19,2018
Dynamic channel pruning: Feature boosting and suppression,46,2018
signSGD with majority vote is communication efficient and fault tolerant,24,2018
Bounce and learn: Modeling scene dynamics with real-world bounces,9,2019
K for the Price of 1: Parameter-efficient Multi-task and Transfer Learning,12,2018
Towards metamerism via foveated style transfer,5,2017
Post selection inference with incomplete maximum mean discrepancy estimator,5,2018
Emergent coordination through competition,40,2019
Prior convictions: Black-box adversarial attacks with bandits and priors,86,2018
Sample efficient imitation learning for continuous control,18,2018
Generative code modeling with graphs,38,2018
Critical learning periods in deep networks,18,2018
CEM-RL: Combining evolutionary and gradient-based methods for policy search,34,2018
Lanczosnet: Multi-scale deep graph convolutional networks,51,2019
Excessive invariance causes adversarial vulnerability,47,2018
Hindsight policy gradients,27,2017
Adaptive gradient methods with dynamic bound of learning rate,142,2019
Decoupled weight decay regularization,259,2017
Optimistic mirror descent in saddle-point problems: Going the extra (gradient) mile,53,2018
Dialogwae: Multimodal response generation with conditional wasserstein auto-encoder,49,2018
No training required: Exploring random encoders for sentence classification,50,2019
Neural graph evolution: Towards efficient automatic robot design,6,2019
Function space particle optimization for Bayesian neural networks,12,2019
Structured adversarial attack: Towards general implementation and better interpretability,48,2018
Spherical CNNs on unstructured grids,39,2019
Optimal transport maps for distribution preserving operations on latent spaces of generative models,9,2017
Deep lagrangian networks: Using physics as model prior for deep learning,46,2019
Accumulation bit-width scaling for ultra-low precision training of deep networks,6,2019
Deep convolutional networks as shallow gaussian processes,67,2018
Unsupervised domain adaptation for distance metric learning,21,2018
"A comprehensive, application-oriented study of catastrophic forgetting in dnns",17,2019
Posterior attention models for sequence to sequence learning,14,2018
Generative question answering: Learning to answer the whole question,16,2018
Diversity and depth in per-example routing models,7,2018
Selfless sequential learning,24,2018
MRL: Mind-aware Multi-agent Management Reinforcement Learning,15,2018
Compressed sensing with deep image prior and learned regularization,54,2018
Efficient multi-objective neural architecture search via lamarckian evolution,108,2018
Quaternion recurrent neural networks,28,2018
Adversarial audio synthesis,106,2018
Preconditioner on Matrix Lie Group for SGD,1,2018
Learning to screen for fast Softmax inference on large vocabulary neural networks,1,2018
Adaptive posterior learning: few-shot learning with a surprise-based memory module,11,2019
Probabilistic planning with sequential monte carlo methods,8,2018
"Plan online, learn offline: Efficient learning and exploration via model-based control",50,2018
DHER: Hindsight experience replay for dynamic goals,9,2018
Flowqa: Grasping flow in history for conversational machine comprehension,36,2018
Learning to design RNA,8,2018
Conditional generative adversarial networks for speech enhancement and noise-robust speaker verification,120,2017
Top-down neural model for formulae,8,2018
Cost-sensitive robustness against adversarial examples,4,2018
The role of over-parametrization in generalization of neural networks,53,2018
Diffusion scattering transforms on graphs,25,2018
Capsule graph neural network,46,2018
Energy-constrained compression for deep neural networks via weighted sparse projection and layer input masking,11,2018
Emerging disentanglement in auto-encoder based unsupervised image content transfer,7,2020
SGD converges to global minimum in deep learning via star-convex path,17,2019
Toward understanding the impact of staleness in distributed machine learning,8,2018
Transfer learning for sequences via learning to collocate,7,2019
